2025-11-10 08:16:02,938 - __main__ - INFO - ================================================================================
2025-11-10 08:16:02,938 - __main__ - INFO - IHM SERVIDOR FINAL - NEOCOUDE-HD-15
2025-11-10 08:16:02,938 - __main__ - INFO - ================================================================================
2025-11-10 08:16:02,938 - __main__ - INFO - Porta serial: /dev/ttyUSB0
2025-11-10 08:16:02,938 - __main__ - INFO - WebSocket: localhost:8086
2025-11-10 08:16:02,938 - __main__ - INFO - Modo: LIVE (CLP real)
2025-11-10 08:16:02,938 - __main__ - INFO - ================================================================================
2025-11-10 08:16:02,938 - modbus_client - INFO - Modbus client initialized in LIVE MODE: /dev/ttyUSB0 @ 57600
2025-11-10 08:16:02,939 - modbus_client - INFO - Connected to PLC on /dev/ttyUSB0
2025-11-10 08:16:02,950 - modbus_client - ERROR - Error reading register 6536: ExceptionResponse(dev_id=1, function_code=131, exception_code=2)
2025-11-10 08:16:02,951 - __main__ - INFO - ✓ Conectado ao CLP via Modbus RTU
2025-11-10 08:16:02,951 - __main__ - INFO - Iniciando servidor WebSocket na porta 8086...
2025-11-10 08:16:02,970 - websockets.server - INFO - server listening on 127.0.0.1:8086
2025-11-10 08:16:02,970 - __main__ - INFO - ✓ Servidor WebSocket rodando em ws://localhost:8086
2025-11-10 08:16:02,970 - __main__ - INFO - Iniciando polling do CLP...
2025-11-10 08:16:03,706 - websockets.server - INFO - connection open
2025-11-10 08:16:03,706 - __main__ - INFO - Cliente conectado. Total de clientes: 1
2025-11-10 08:16:03,926 - websockets.server - INFO - connection open
2025-11-10 08:16:03,926 - __main__ - INFO - Cliente conectado. Total de clientes: 2
2025-11-10 08:16:04,294 - websockets.server - INFO - connection open
2025-11-10 08:16:04,295 - __main__ - INFO - Cliente conectado. Total de clientes: 3
2025-11-10 08:16:06,131 - websockets.server - INFO - connection open
2025-11-10 08:16:06,131 - __main__ - INFO - Cliente conectado. Total de clientes: 4
2025-11-10 08:32:15,109 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:19,111 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:23,114 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:27,117 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:31,120 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:35,375 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:39,380 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:43,383 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:47,386 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:51,389 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:55,392 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:32:59,647 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:03,650 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:07,652 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:11,656 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:15,659 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:19,663 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:23,917 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:27,920 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:31,925 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:35,927 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:39,930 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:43,934 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:48,190 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:52,193 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:33:56,196 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:00,200 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:04,204 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:08,208 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:12,462 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:16,464 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:20,467 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:24,470 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:28,474 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:32,478 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:36,734 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:40,736 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:44,739 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:48,743 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:52,746 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:34:56,749 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:01,005 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:05,008 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:09,012 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:13,015 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:17,018 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:21,020 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:25,276 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:29,279 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:33,282 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:37,286 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:41,290 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:45,293 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:49,549 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:53,552 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:35:57,554 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:01,557 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:05,561 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:09,563 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:13,818 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:17,822 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:21,826 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:25,828 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:29,832 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:33,836 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:38,090 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:42,094 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:46,098 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:50,101 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:54,104 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:36:58,107 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:02,362 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:06,365 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:10,368 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:14,372 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:18,375 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:22,379 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:26,634 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:30,636 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:34,638 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:38,642 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:42,645 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:46,648 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:50,902 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:54,906 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:37:58,909 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:02,912 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:06,915 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:10,919 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:15,174 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:19,178 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:23,181 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:27,184 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:31,188 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:35,190 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:39,444 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:43,447 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:47,451 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:51,455 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:55,457 - modbus_client - ERROR - Modbus error reading register 2130: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:38:59,461 - modbus_client - ERROR - Modbus error reading coil 767: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:39:03,717 - modbus_client - ERROR - Modbus error reading register 1238: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:39:07,720 - modbus_client - ERROR - Modbus error reading register 1239: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:39:11,722 - modbus_client - ERROR - Modbus error reading register 2114: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
2025-11-10 08:39:15,725 - modbus_client - ERROR - Modbus error reading register 2120: Modbus Error: [Input/Output] ERROR: No response received of the last requests (default: retries+3), CLOSING CONNECTION.
